Word1,Word2,POS,Sim1,Sim2,STD,Cosine Builtin,Pearson,Spearman,Cosine
thăng_trầm,khô_kiệt,A,0.33,0.55,0.7,-0.01,1.0,-0.007,-0.01
thay_thế,biến_đổi,N,4.13,6.88,1.02,0.183,1.0,0.146,0.183
ban_công,lan_can,N,2.33,3.88,0.79,0.55,1.0,0.535,0.55
dưới,trên,N,0.4,0.67,0.71,0.21,1.0,0.241,0.21
kháng_cự,phản_đối,V,4.0,6.67,0.97,0.054,1.0,0.053,0.054
cầm,rờ_mó,V,3.73,6.22,1.12,None,None,None,None
vế,vai_vế,N,4.27,7.12,0.85,0.195,1.0,0.149,0.195
vắng_lặng,ồn_ào,A,0.33,0.55,0.7,0.553,1.0,0.566,0.553
xót_thương,đau_lòng,V,5.27,8.78,0.77,0.54,1.0,0.48,0.54
găng_tay,quần_áo,N,3.13,5.22,0.88,0.445,1.0,0.389,0.445
lộp_bộp,lộp_độp,A,5.13,8.55,0.81,None,None,None,None
sinh_vật_cảnh,đồng_dao,N,0.07,0.12,0.25,0.183,1.0,0.145,0.183
lặn,mọc,V,0.33,0.55,0.7,0.188,1.0,0.19,0.188
bồ_bịch,nhân_tình,N,5.27,8.78,0.85,0.431,1.0,0.378,0.431
bằng_chứng,chứng_cứ,N,3.33,5.55,0.7,0.728,1.0,0.729,0.728
hạ_màn,mở_màn,V,0.33,0.55,0.7,0.481,1.0,0.432,0.481
ca_tụng,đoàn_kết,V,2.67,4.45,0.7,0.062,1.0,0.058,0.062
ngày,đêm,N,0.33,0.55,0.7,0.502,1.0,0.493,0.502
lan_can,rào,N,2.8,4.67,0.75,0.497,1.0,0.501,0.497
trở_lại,đảo_ngược,V,3.0,5.0,0.73,0.264,1.0,0.258,0.264
nhạc_nhẹ,tiểu_học,N,0.0,0.0,0.0,-0.008,1.0,-0.016,-0.008
tự_do,đức_tính,N,1.0,1.67,1.03,0.002,1.0,-0.0,0.002
hợp_nhất,liên_kết,N,3.53,5.88,1.09,0.338,1.0,0.255,0.338
hoàng_tộc,hoàng_gia,N,5.0,8.33,0.82,0.433,1.0,0.408,0.433
đầu_mối,chỗ,N,3.07,5.12,1.06,0.164,1.0,0.178,0.164
tinh_luyện,hoá_lỏng,V,2.93,4.88,0.68,0.349,1.0,0.353,0.349
bí_hiểm,bí_mật,N,4.4,7.33,1.02,0.288,1.0,0.242,0.288
chung_tình,phụ_bạc,V,0.33,0.55,0.6,0.399,1.0,0.369,0.399
bàn_cãi,cân_nhắc,V,3.93,6.55,1.12,0.277,1.0,0.259,0.277
nhảy_cao,ném_đĩa,N,3.2,5.33,0.75,0.473,1.0,0.447,0.473
bánh_hỏi,bánh_giò,N,3.33,5.55,0.7,None,None,None,None
tiếng_chuông,âm_thanh,N,2.87,4.78,0.72,0.381,1.0,0.335,0.381
tha_thẩn,thơ_thẩn,A,4.87,8.12,0.88,0.652,1.0,0.619,0.652
phôi_bào,tế_bào,N,4.13,6.88,1.15,None,None,None,None
thuyền,bánh_lái,N,2.33,3.88,0.87,0.396,1.0,0.36,0.396
nấp,hiện,V,0.2,0.33,0.4,0.037,1.0,-0.009,0.037
cất,giấu,V,4.87,8.12,1.15,0.426,1.0,0.413,0.426
âm,gốc,N,1.47,2.45,1.02,0.3,1.0,0.314,0.3
đặt,thả_lỏng,V,2.07,3.45,1.12,0.118,1.0,0.136,0.118
chỉnh_hình,tiểu_học,N,0.13,0.22,0.34,0.119,1.0,0.059,0.119
tẩy,cạn,V,2.07,3.45,1.0,0.142,1.0,0.104,0.142
cây_trồng,đĩa_bay,N,0.07,0.12,0.25,0.1,1.0,0.102,0.1
chỉnh_hình,luồng,N,0.53,0.88,1.02,-0.173,1.0,-0.155,-0.173
màng_tế_bào,bảng_tổng_sắp,N,0.13,0.22,0.34,-0.02,1.0,-0.002,-0.02
ngót_nghét,xấp_xỉ,A,5.33,8.88,0.6,0.433,1.0,0.424,0.433
biến_động,cố_định,V,0.27,0.45,0.57,0.239,1.0,0.205,0.239
khuyết_điểm,ưu_điểm,N,0.27,0.45,0.57,0.392,1.0,0.359,0.392
nhạo_báng,khiếm_nhã,N,4.47,7.45,1.02,0.479,1.0,0.446,0.479
hại,lợi,N,0.13,0.22,0.34,0.231,1.0,0.149,0.231
bướu_cổ,bệnh_tật,N,3.07,5.12,1.06,0.395,1.0,0.39,0.395
cây_thuốc,cây_hoa_màu,N,3.27,5.45,1.24,0.365,1.0,0.36,0.365
tinh_lọc,tinh_chế,V,4.93,8.22,0.85,0.527,1.0,0.456,0.527
tăm_dạng,tung_tích,N,4.53,7.55,0.72,None,None,None,None
bức_bối,nguỵ_trang,V,0.6,1.0,0.95,-0.046,1.0,-0.057,-0.046
thân_thể,đầu,N,2.53,4.22,0.88,-0.049,1.0,-0.036,-0.049
thừa_thế,hằn_học,V,0.87,1.45,1.26,None,None,None,None
quỷ_quyệt,xảo_quyệt,A,4.87,8.12,0.72,0.635,1.0,0.624,0.635
hoang_phí,hà_tiện,V,0.33,0.55,0.6,0.504,1.0,0.493,0.504
cóp_nhặt,để_dành,V,4.4,7.33,1.08,0.15,1.0,0.144,0.15
may,rủi,N,0.33,0.55,0.7,0.075,1.0,0.086,0.075
tum,chân_vịt,N,0.47,0.78,0.62,0.182,1.0,0.2,0.182
nhạo,vèo,V,0.8,1.33,1.33,0.155,1.0,0.075,0.155
ngoại_lệ,thường_lệ,N,0.67,1.12,0.87,-0.037,1.0,-0.064,-0.037
phong_độ,phong_thái,N,4.27,7.12,1.0,0.37,1.0,0.364,0.37
biết_ơn,vô_ơn,V,0.2,0.33,0.54,0.286,1.0,0.283,0.286
buồn_bã,nối_tiếp,V,1.67,2.78,0.7,0.1,1.0,0.096,0.1
quay,chuyển_hướng,N,4.4,7.33,1.2,0.296,1.0,0.292,0.296
tập_dượt,tập_luyện,V,4.87,8.12,0.96,0.434,1.0,0.45,0.434
oxy_hoá,đổi_thay,V,3.27,5.45,1.12,0.12,1.0,0.091,0.12
trà,bụi,N,1.07,1.78,1.24,0.222,1.0,0.22,0.222
phỏng,mảnh,A,0.87,1.45,0.88,0.082,1.0,0.08,0.082
phòng_ngủ,công_trình_phụ,N,2.8,4.67,0.54,0.282,1.0,0.346,0.282
hình_hoạ,cung_bậc,N,0.53,0.88,0.96,0.168,1.0,0.163,0.168
hoạ,phúc,N,0.53,0.88,0.88,0.117,1.0,0.089,0.117
nửa_mùa,đồng_điệu,A,1.07,1.78,1.18,-0.012,1.0,0.004,-0.012
thịnh_hành,hữu_tình,A,0.53,0.88,0.96,0.078,1.0,0.047,0.078
biệt_ly,sum_họp,V,0.47,0.78,0.81,None,None,None,None
phụ_bản,nếp_tẻ,N,0.47,0.78,1.09,None,None,None,None
lời_lãi,thua_lỗ,N,0.4,0.67,0.71,0.267,1.0,0.28,0.267
con_đường,vỉa_hè,N,2.53,4.22,0.88,0.312,1.0,0.352,0.312
chính_nghĩa,phi_nghĩa,N,0.47,0.78,0.88,0.557,1.0,0.551,0.557
trần_gian,cõi_âm,N,0.73,1.22,0.77,0.346,1.0,0.37,0.346
vượng,suy,V,0.53,0.88,1.02,0.008,1.0,0.021,0.008
lắng_nghe,lắng_tai,V,4.67,7.78,0.87,None,None,None,None
ấp_úng,nói,V,2.33,3.88,0.87,0.211,1.0,0.166,0.211
thất_bại,thành_công,N,0.53,0.88,1.26,0.466,1.0,0.409,0.466
đa_ngôn,mỏng_tang,A,0.27,0.45,0.57,None,None,None,None
ái_mộ,hâm_mộ,V,5.07,8.45,0.68,0.469,1.0,0.43,0.469
tí_ti,tí_teo,N,5.13,8.55,1.02,None,None,None,None
nỗi_đau,tai_hoạ,N,3.2,5.33,1.05,0.49,1.0,0.439,0.49
dương_gian,cõi_âm,N,0.67,1.12,1.07,None,None,None,None
phân_tử,nếp_tẻ,N,0.13,0.22,0.5,None,None,None,None
định_kỳ,bất_thường,N,0.73,1.22,1.06,0.144,1.0,0.124,0.144
trước,sau,N,0.33,0.55,0.47,0.577,1.0,0.557,0.577
đánh_bóng,làm_đẹp,V,4.2,7.0,1.22,0.382,1.0,0.37,0.382
đoán,quan_sát,V,3.93,6.55,0.68,0.32,1.0,0.28,0.32
đồ_dùng,đồ_vật,N,2.33,3.88,0.94,0.575,1.0,0.576,0.575
giải_tán,tập_hợp,V,0.67,1.12,1.07,0.194,1.0,0.207,0.194
nhóm,liên_kết,V,0.33,0.55,0.79,0.242,1.0,0.158,0.242
đầu_tiên,cuối_cùng,N,0.47,0.78,0.72,0.511,1.0,0.488,0.511
hảo_hữu,người_thân,N,2.4,4.0,1.14,None,None,None,None
quyển,bìa,N,2.0,3.33,0.82,0.209,1.0,0.219,0.209
vượt_tuyến,hằn_học,V,0.4,0.67,0.61,-0.03,1.0,-0.043,-0.03
chiến_bại,thắng_lợi,V,1.07,1.78,1.06,0.284,1.0,0.267,0.284
bành_tô,khăn,N,2.2,3.67,1.22,None,None,None,None
đỡ_đần,bình_luận,V,0.53,0.88,0.88,0.017,1.0,0.063,0.017
hạ,tăng,V,0.67,1.12,0.94,0.36,1.0,0.355,0.36
tợn,hiền,A,0.4,0.67,0.8,None,None,None,None
bội_bạc,chung_thuỷ,A,0.47,0.78,0.62,0.34,1.0,0.347,0.34
nhà_máy,dây_chuyền,N,2.53,4.22,0.72,0.359,1.0,0.37,0.359
tàu_hoả,xe_điện_ngầm,N,3.93,6.55,1.12,0.422,1.0,0.416,0.422
thuở,thủa,N,5.87,9.78,0.34,0.861,1.0,0.833,0.861
tranh,trông_nom,V,1.93,3.22,0.77,-0.033,1.0,-0.028,-0.033
cây_thân_gỗ,cành,N,2.53,4.22,0.88,None,None,None,None
xuôi,ngược,N,0.33,0.55,0.6,0.315,1.0,0.305,0.315
biên_nhận,móc,V,0.4,0.67,0.88,0.004,1.0,0.015,0.004
thi_hành,bắt,V,3.4,5.67,1.14,0.059,1.0,0.058,0.059
cự_tuyệt,bãi_bỏ,V,3.67,6.12,1.14,0.397,1.0,0.375,0.397
thi_đấu,phá_vây,V,0.8,1.33,0.83,None,None,None,None
hiện_trạng,tình_cảnh,N,4.4,7.33,1.31,0.197,1.0,0.169,0.197
vượt_tuyến,dứt_điểm,V,1.0,1.67,0.89,0.259,1.0,0.242,0.259
cá_hồng,cá_chai,N,3.4,5.67,1.08,None,None,None,None
bằng,văn_bằng,N,4.6,7.67,0.49,0.055,1.0,0.056,0.055
tĩnh_dưỡng,lộn_xộn,V,1.73,2.88,0.85,-0.021,1.0,-0.041,-0.021
bạc_đãi,trọng_đãi,V,0.67,1.12,0.79,None,None,None,None
phân_li,đoàn_tụ,V,0.53,0.88,0.88,None,None,None,None
nhốt,thả,V,0.53,0.88,1.09,0.398,1.0,0.384,0.398
nội_tiết,huyệt,N,1.07,1.78,0.77,0.189,1.0,0.195,0.189
phụ_bản,truyện_tranh,N,1.93,3.22,1.29,0.347,1.0,0.375,0.347
phong_thư,địa_chỉ,N,2.93,4.88,0.68,0.25,1.0,0.198,0.25
thời_bình,thời_chiến,N,0.73,1.22,0.77,0.609,1.0,0.578,0.609
áo_quan,quan_tài,N,3.93,6.55,0.85,0.676,1.0,0.669,0.676
trẩy_hội,ví,V,0.27,0.45,0.57,0.053,1.0,0.041,0.053
nhức_nhối,nhấp_nhỏm,A,1.93,3.22,1.24,None,None,None,None
cũ_kỹ,mới_mẻ,A,0.33,0.55,0.6,0.323,1.0,0.326,0.323
nhạo,hạ_bút,V,0.8,1.33,0.83,None,None,None,None
sân_vận_động,khán_đài,N,2.33,3.88,0.7,0.571,1.0,0.529,0.571
chủ_nghĩa_hình_thức,truyện_tranh,N,1.53,2.55,1.26,None,None,None,None
được,mất,V,0.4,0.67,0.49,-0.005,1.0,-0.03,-0.005
hiểu,tiên_lượng,V,2.47,4.12,1.31,0.253,1.0,0.313,0.253
quét_dọn,loại_bỏ,V,3.73,6.22,0.85,0.045,1.0,0.037,0.045
bay_hơi,bay,V,3.47,5.78,0.72,0.149,1.0,0.174,0.149
dễ_dàng,khó_khăn,A,0.67,1.12,1.25,0.427,1.0,0.41,0.427
gạ,gạ_gẫm,V,5.33,8.88,0.6,0.67,1.0,0.645,0.67
vắng_tanh,lịch_bịch,A,0.47,0.78,0.72,None,None,None,None
nhậm_chức,nhiệm_chức,V,4.67,7.78,1.07,0.314,1.0,0.319,0.314
hồ_sơ,bằng_cớ,N,4.07,6.78,0.57,None,None,None,None
hổ_thẹn,bắt_buộc,V,0.6,1.0,0.88,0.288,1.0,0.33,0.288
dấu_hiệu,đặc_trưng,N,3.2,5.33,0.75,0.125,1.0,0.116,0.125
người_dân,tộc_người,N,3.87,6.45,1.09,0.345,1.0,0.338,0.345
bè_cánh,vây_cánh,N,4.67,7.78,0.94,None,None,None,None
bật_lửa,giảm_xóc,N,2.6,4.33,1.14,0.177,1.0,0.167,0.177
sinh_vật_cảnh,không_trung,N,0.6,1.0,0.8,0.071,1.0,0.1,0.071
chần_chờ,dứt_khoát,V,0.4,0.67,0.8,-0.082,1.0,-0.064,-0.082
tư_thế,phong_thái,N,5.0,8.33,0.63,0.336,1.0,0.347,0.336
máy_vi_tính,phím,N,2.8,4.67,0.65,0.233,1.0,0.22,0.233
sụp_đổ,kìm_nén,V,2.2,3.67,1.05,0.221,1.0,0.159,0.221
mắc_kẹt,cầm_giữ,V,5.33,8.88,0.87,0.475,1.0,0.493,0.475
hình_hoạ,khí_quyển,N,0.27,0.45,0.57,0.093,1.0,0.052,0.093
thuộc_địa,kiều_dân,N,3.93,6.55,1.24,0.32,1.0,0.317,0.32
nhà_hát,sân_khấu,N,2.6,4.33,1.02,0.441,1.0,0.408,0.441
thìa,muỗng,N,4.67,7.78,0.87,0.842,1.0,0.837,0.842
tỏ,biểu_lộ,V,4.8,8.0,1.11,0.498,1.0,0.492,0.498
chiến_tranh,trận_chiến,N,2.73,4.55,0.68,0.412,1.0,0.394,0.412
cộc,va,V,5.0,8.33,0.89,0.034,1.0,0.052,0.034
tính_sổ,giám_đốc_thẩm,V,1.27,2.12,1.12,0.031,1.0,0.035,0.031
hơn,thua,A,0.8,1.33,1.22,0.086,1.0,0.063,0.086
cựu_binh,tân_binh,N,0.67,1.12,0.79,0.456,1.0,0.391,0.456
tính_sổ,nuôi_dưỡng,V,0.6,1.0,0.95,0.074,1.0,0.038,0.074
ngữ_cảnh,văn_cảnh,N,4.73,7.88,0.93,None,None,None,None
hâm_nóng,cải_biến,V,3.2,5.33,1.22,0.391,1.0,0.401,0.391
bón,tẩm,V,0.93,1.55,0.85,0.227,1.0,0.241,0.227
thảm,thê_thảm,A,5.73,9.55,0.44,0.218,1.0,0.235,0.218
lắp_đặt,nhồi_nhét,V,3.53,5.88,0.88,0.089,1.0,0.132,0.089
tạo_hoá,tạo_vật,N,2.6,4.33,1.25,0.299,1.0,0.29,0.299
hen,cúm,N,3.87,6.45,1.2,0.339,1.0,0.321,0.339
mệt_mỏi,mỏi_mệt,A,5.73,9.55,0.77,0.774,1.0,0.754,0.774
tắc_nghẽn,thông_suốt,V,0.4,0.67,0.61,0.365,1.0,0.34,0.365
trọng,coi_trọng,V,5.6,9.33,0.61,0.382,1.0,0.388,0.382
đẽo,bắt,V,0.73,1.22,0.93,0.065,1.0,0.077,0.065
len_lách,len_lỏi,V,5.0,8.33,0.97,None,None,None,None
hú,ca,V,3.87,6.45,0.96,0.146,1.0,0.142,0.146
danh_sách,mục,N,3.13,5.22,0.81,0.252,1.0,0.254,0.252
chuyển_nhượng,phát_mại,V,3.13,5.22,0.96,0.183,1.0,0.192,0.183
vòng_tay,trang_sức,N,4.13,6.88,1.15,0.112,1.0,0.102,0.112
đổ_bê_tông,chăm_sóc,V,1.13,1.88,1.2,0.056,1.0,0.048,0.056
kín,phát,V,0.8,1.33,0.91,0.018,1.0,0.045,0.018
người_tình,chiến_sĩ,N,2.87,4.78,0.88,0.106,1.0,0.102,0.106
cuối,đầu,N,0.53,0.88,0.72,0.642,1.0,0.649,0.642
cần_tây,đậu_bắp,N,2.93,4.88,0.77,0.55,1.0,0.533,0.55
định_kì,bất_thường,N,0.67,1.12,1.14,0.159,1.0,0.117,0.159
thiện_chí,ác_ý,N,0.6,1.0,0.88,0.305,1.0,0.303,0.305
biên_cương,biên_giới,N,5.33,8.88,0.6,0.356,1.0,0.358,0.356
sông,cửa_sông,N,2.67,4.45,1.14,0.641,1.0,0.626,0.641
tím,bẹp,A,0.73,1.22,1.06,0.108,1.0,0.081,0.108
năm_âm_lịch,tháng_âm_lịch,N,2.4,4.0,0.88,0.572,1.0,0.478,0.572
đỡ_đần,suy_xét,V,0.73,1.22,1.06,0.155,1.0,0.148,0.155
bầm,mệ,N,5.6,9.33,0.61,0.041,1.0,0.06,0.041
dáng,tản_bộ,N,3.73,6.22,0.93,0.101,1.0,0.124,0.101
sinh_vật,tế_bào,N,2.8,4.67,0.75,0.499,1.0,0.494,0.499
giở_quẻ,giở_chứng,V,5.47,9.12,0.62,None,None,None,None
nhau,rau,N,4.73,7.88,0.68,0.116,1.0,0.106,0.116
đồng_tình,phản_đối,A,0.67,1.12,0.94,0.291,1.0,0.293,0.291
thanh,dụng_cụ,N,3.07,5.12,0.68,0.148,1.0,0.173,0.148
điệu,háo,A,1.0,1.67,1.21,0.108,1.0,0.083,0.108
tử_trận,tiếp_sức,V,0.4,0.67,0.71,0.083,1.0,0.077,0.083
trù_dập,trù_úm,V,5.4,9.0,0.71,0.596,1.0,0.61,0.596
tứ_kết,trận_đấu,N,3.47,5.78,1.02,0.401,1.0,0.381,0.401
tình_ca,ca_khúc,N,3.67,6.12,1.25,0.483,1.0,0.501,0.483
báo_ân,trả_thù,V,1.07,1.78,1.18,0.087,1.0,0.145,0.087
vững_tâm,vững_lòng,A,5.53,9.22,0.72,0.415,1.0,0.37,0.415
cũ_rích,mới_mẻ,A,0.67,1.12,0.79,0.193,1.0,0.161,0.193
lành,kẹt,A,0.27,0.45,0.44,0.028,1.0,0.053,0.028
tù,ngục,N,5.53,9.22,0.88,0.308,1.0,0.29,0.308
chủ_nghĩa_hình_thức,đức_tính,N,1.27,2.12,1.34,None,None,None,None
dày_cộp,mỏng_tang,A,0.47,0.78,0.72,0.317,1.0,0.269,0.317
cây_trồng,thầy_thuốc_nhân_dân,N,0.87,1.45,0.96,0.091,1.0,0.061,0.091
điều_hành,lục_lọi,N,2.47,4.12,0.72,0.013,1.0,0.044,0.013
dáng_bộ,dáng_điệu,N,5.0,8.33,1.21,None,None,None,None
tự_do,phần_cứng,N,0.47,0.78,0.62,0.004,1.0,0.026,0.004
thu_ngân,dân_cư,N,2.47,4.12,1.2,0.101,1.0,0.149,0.101
cắt,tẩm,V,0.27,0.45,0.57,0.105,1.0,0.069,0.105
nghị_quyết,tài_liệu,N,3.47,5.78,0.81,0.166,1.0,0.124,0.166
ăn_nhậu,nhậu_nhẹt,V,4.47,7.45,0.62,0.728,1.0,0.699,0.728
gắn_kết,liên_kết,V,5.47,9.12,0.88,0.688,1.0,0.634,0.688
máy_tính,bộ_vi_xử_lý,N,2.67,4.45,0.79,0.508,1.0,0.472,0.508
cải_thiện,thuần_hoá,V,2.2,3.67,0.83,0.214,1.0,0.242,0.214
năng_lực,tột_độ,N,1.73,2.88,0.68,-0.014,1.0,0.01,-0.014
an_dưỡng,tĩnh_dưỡng,V,5.13,8.55,1.09,0.546,1.0,0.472,0.546
di_chuyển,dời,N,5.27,8.78,0.68,0.339,1.0,0.334,0.339
ngoài,trong,N,0.6,1.0,0.71,0.121,1.0,0.139,0.121
cặp,đôi,N,5.73,9.55,0.57,0.375,1.0,0.364,0.375
cẳng,bắp_chân,N,2.8,4.67,0.65,0.304,1.0,0.288,0.304
chiến_tranh,hoà_bình,N,0.47,0.78,0.62,0.346,1.0,0.376,0.346
đau_đớn,làm_phiền,V,5.2,8.67,0.83,0.069,1.0,0.083,0.069
gia_tăng,lạm_phát,V,2.67,4.45,1.07,0.199,1.0,0.172,0.199
thói,thái_độ,N,2.6,4.33,1.25,0.438,1.0,0.415,0.438
mô_hình,cấu_trúc,N,4.07,6.78,0.85,0.421,1.0,0.336,0.421
mạo_danh,lừa_đảo,V,4.47,7.45,1.09,0.608,1.0,0.582,0.608
sếp,lãnh_đạo,N,4.27,7.12,0.77,0.325,1.0,0.29,0.325
thẻ,kỉ_vật,N,2.6,4.33,0.95,0.111,1.0,0.089,0.111
hỏi,đáp,V,0.67,1.12,0.87,0.404,1.0,0.37,0.404
tản_bộ,di_chuyển,V,3.47,5.78,0.96,0.389,1.0,0.323,0.389
chuệch_choạc,chệch_choạc,A,5.53,9.22,0.5,0.773,1.0,0.721,0.773
dương_gian,âm_phủ,N,0.53,0.88,0.62,None,None,None,None
giải_thích,ngấm,V,0.47,0.78,0.72,0.094,1.0,0.089,0.094
mách,mách_nước,V,4.2,7.0,0.91,0.531,1.0,0.507,0.531
nước_lớn,xuất_xứ,N,1.0,1.67,1.21,0.083,1.0,0.078,0.083
số_hoá,hoá_lỏng,V,1.6,2.67,0.61,0.139,1.0,0.12,0.139
dận,nhấn,V,4.67,7.78,0.79,None,None,None,None
hơi_hướng,hơi_hám,N,0.73,1.22,0.77,None,None,None,None
cắt_giảm,trừ_khử,V,0.53,0.88,0.96,0.159,1.0,0.157,0.159
nhạc_nhẹ,cung_bậc,N,1.4,2.33,1.2,0.152,1.0,0.171,0.152
túm_tụm,quần_tụ,V,5.0,8.33,0.82,0.34,1.0,0.314,0.34
giở_mặt,lật_lọng,V,5.0,8.33,1.26,None,None,None,None
thị_giác,võng_mạc,N,2.87,4.78,0.72,0.451,1.0,0.445,0.451
người_làm,dân_chơi,N,2.13,3.55,1.09,0.155,1.0,0.116,0.155
phân_chia,phân_bổ,N,5.07,8.45,0.77,0.528,1.0,0.528,0.528
xâm_nhập,xuyên,V,4.2,7.0,0.98,0.199,1.0,0.136,0.199
thuộc_hạ,người_lớn,N,1.93,3.22,0.93,0.2,1.0,0.199,0.2
